ID,DATE_TIME,Node_Name,Node_Id,Cumm_Power,Active_Power,Average_Power_Factor,LL_Average_Voltage,LN_Average_Voltage,Average_Current,Frequency,R_Ph_Active_Power,R_Ph_Power_Factor,RY_Voltage,RN_Average_Voltage,R_Ph_Current,Y_Ph_Active_Power,Y_Ph_Power_factor,YB_Voltage,YN_Average_Voltage,Y_Ph_Current,B_Ph_Active_Power,B_Ph_Power_factor,BR_Voltage,BN_Average_Voltage,B_Ph_Current,Average_Apparent_Power,Average_Reactive_Power,R_Ph_Apparent_Power,R_Ph_Reactive_Power,Y_Ph_Apparent_Power,Y_Ph_Reactive_Power,B_Ph_Apparent_Power,B_Ph_Reactive_Power,R_Ph_THD_Current,Y_Ph_THD_Current,B_Ph_THD_Current,N_Ph_THD_Current,G_Ph_THD_Current,L_L_Average_THD_Voltage,R_Ph_THD_Voltage,Y_Ph_THD_Voltage,B_Ph_THD_Voltage,L_N_Average_THD_Voltage,RN_THD_Voltage,YN_THD_Voltage,BN_THD_Voltage
105396,02:08.0,WSHN FAN DB              ,2,183959.4063,28.76269722,0.971636057,400.5198975,231.2454071,42.69003296,50.05128098,9.089108467,0.975583613,400.0288391,229.4476318,40.60441208,9.161242485,0.978494465,402.1203308,232.9194946,40.19667816,10.07579803,0.962012172,394.8154602,230.3612823,45.79320145,29.15284538,6.836819172,9.316585541,2.046188593,9.362589836,2.046188593,10.47367001,2.859380484,6.390693188,5.274463177,6.986719131,19.72173691,0,3.593095303,3.728847504,3.457342863,4.031357288,3.77256012,4.040242672,3.510545254,3.715302706
105397,02:07.0,FDV UNIT A               ,13,59270.98438,16.86795807,0.892944992,399.324707,230.5526886,27.30563545,50.06177139,5.217094421,0.882659972,401.8790283,230.7116699,25.6192112,5.872619152,0.904018998,402.6834106,233.1362152,27.86407471,5.740166187,1.085679054,398.1679688,231.4674225,27.23030663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105390,02:10.0,MF DB-2                  ,5,0,-0.324641109,-1.0861063,414.6940918,239.4259644,0.494587809,50.08317947,-0.118038133,-0.946106076,415.7669983,239.6862946,0.520522237,-0.100223266,-1.12298429,416.8347473,240.6772461,0.474816889,-0.10856089,-1.085293293,414.4476013,239.9970093,0.495284647,0.357723504,0.062463302,0.124762043,-0.040405042,0.114277616,-0.040405042,0.11868383,0.047962327,25.38045311,32.74588776,40.56969833,72.46825409,0,2.979042053,3.259152651,2.698931217,3.137026787,3.14509654,3.386051178,2.903401613,2.833490133
105391,02:10.0,WSHN FAN DB              ,2,183930.6406,28.29192924,0.969129562,414.4461365,239.2824554,40.67316818,50.07416153,9.624195099,0.973438084,413.5849609,238.5796509,41.44028091,8.965331078,0.97771287,413.8051147,239.3029633,38.31835938,9.579096794,0.95762825,411.5800171,238.4422455,42.12755585,29.05944061,7.069649696,9.886807442,2.263588428,9.169696808,2.263588428,10.00293827,2.880916595,5.702026367,4.76841259,4.50252533,28.82453156,0,2.967233658,3.247348309,2.687119007,3.091343403,3.207828283,3.370644093,3.037549973,2.629585743
105392,02:10.0,MF DB-1                  ,4,32295.65625,0.881802142,0.382271737,415.7404785,240.0298004,3.202324152,50.0844841,0.040592045,0.055523582,414.306488,238.9015198,3.060163021,0.469107002,0.477346539,415.3552551,239.7469177,4.099067688,0.363043606,0.648553371,413.1566162,239.1825714,2.343139648,2.273590803,2.019580364,0.731077552,0.729949832,0.982738853,0.729949832,0.559774458,0.426083088,19.65189362,11.70175362,18.15802956,0,0,2.943060398,3.236399651,2.649720907,3.179350376,3.129417419,3.40800333,2.853808641,2.82966876
105393,02:10.0,FDV UNIT A               ,13,59254.08984,16.96537209,0.898322999,413.8662109,238.9465942,26.34336662,50.08945465,5.62201643,0.891391993,415.0766602,239.158432,26.37166023,5.867439747,0.897135019,413.9012451,239.8481293,27.26807213,5.514182568,0.903316975,412.7906189,238.9793091,25.65601921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105394,02:10.0,WSHN LGT DB              ,1,410650.5,20.38340378,1.008547306,413.7740173,238.8952179,28.68408203,50.08716965,7.283885002,1.006119251,414.0518494,238.2135468,30.76538467,5.434812546,1.011799693,414.4659119,239.9576111,22.91949654,6.149908543,1.010206938,412.1536865,238.7693634,26.09140587,19.04176712,-2.537376881,7.328731537,-0.809523344,5.499707699,-0.809523344,6.213328362,-0.885478377,8.837047577,10.42454529,10.08194542,31.61214256,0,3.048949242,3.355048895,2.742849588,3.285308599,3.301995277,3.567875624,3.053763151,2.799538374
105389,02:09.0,FDV UNIT B               ,3,61093.23047,17.96062851,0.884760022,415.5384216,239.9115143,28.20285606,50.08294296,5.815545082,0.872597992,416.2740784,239.5824585,27.81770515,6.187999725,0.878185987,415.6239319,240.6718292,29.27780342,5.927453995,0.901097,414.3686829,239.8443604,27.49113655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105388,02:11.0,WSHN LGT DB              ,1,410622.1875,27.25959015,1.007793784,409.7513428,236.5726318,38.74884033,50.07979965,10.79516029,1.007274866,411.3944397,235.2678528,46.22080231,7.669116497,1.011263371,412.6124573,239.6908569,32.36035538,8.931080818,1.005595803,406.234314,236.7618256,38.16539383,27.61208916,-3.418983936,10.87426853,-1.309289932,7.756481647,-1.309289932,8.981338501,-0.948809743,9.123880386,10.50165081,8.660683632,48.9118309,0,3.364737034,3.606631279,3.12284255,3.919476986,3.584336519,3.933968067,3.246372938,3.585599422
105385,02:10.0,FDV UNIT A               ,13,59236.78516,16.97201538,0.905510008,413.0426331,238.4714203,26.19689941,50.07236481,5.173345089,0.868354976,413.5438232,236.5417938,25.18640709,5.920632839,0.89180702,413.7560425,240.5590668,27.59788322,5.917600632,1.080122948,407.4691162,237.631424,27.2824955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
